SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SUDARSCHEM,EQ,1195.9,1215.2,1164.6,1176.9,1184,1195.8,86836,103043919.00,27-Oct-2025,11042,INE659A01023
SUKHJITS,EQ,167.9,167.9,163.43,166.32,165.05,167.43,3536,586553.92,27-Oct-2025,134,INE450E01029
SULA,EQ,254.55,255,250.05,250.75,251.1,254.05,227092,57194064.85,27-Oct-2025,6601,INE142Q01026
SUMEETINDS,BE,35.24,36,34.16,34.16,34.18,35.96,251401,8716068.96,27-Oct-2025,933,INE235C01036
SUMIT,EQ,86.62,88.4,85.3,86.41,86.94,86.62,26413,2288338.76,27-Oct-2025,914,INE748Z01013
SUMICHEM,EQ,518,538,506,518,518.05,517.9,1402033,726665267.75,27-Oct-2025,62300,INE258G01013
SUMMITSEC,EQ,2355.1,2440,2355.1,2426.5,2416,2354.9,22569,54414008.60,27-Oct-2025,4879,INE519C01017
SPARC,EQ,132,136.01,130.12,133.26,132.82,131.37,356919,47487765.58,27-Oct-2025,7165,INE232I01014
SUNPHARMA,EQ,1701,1708.5,1690,1693.6,1694.9,1699,2067904,3504075902.30,27-Oct-2025,70214,INE044A01036
SUNTV,EQ,560,560,551.7,556.05,556.2,559.05,126165,70089718.00,27-Oct-2025,6829,INE424H01027
SUNDRMBRAK,EQ,773,774.9,761.1,765.2,763,766.85,1227,939851.00,27-Oct-2025,64,INE073D01013
SUNCLAY,EQ,1525,1525.9,1497.2,1513.8,1525.9,1512.1,5083,7665233.70,27-Oct-2025,1316,INE0Q3R01026
SUNDARMFIN,EQ,4631,4709,4612.5,4684.2,4651,4647,52027,242997682.80,27-Oct-2025,12342,INE660A01013
SUNDARAM,EQ,1.84,1.9,1.82,1.87,1.9,1.84,1101434,2055068.13,27-Oct-2025,814,INE108E01023
SUNDRMFAST,EQ,984,984.8,964.25,967,967.1,975.95,48151,46725181.35,27-Oct-2025,5269,INE387A01021
SUNDROP,EQ,760.3,765,745.1,754.75,759,767.95,10362,7818593.40,27-Oct-2025,1140,INE209A01019
SUNFLAG,EQ,263.95,264.6,261.3,262.95,263.6,263.1,53069,13954619.55,27-Oct-2025,2593,INE947A01014
SEL,SM,245,259.9,245,258.5,259.75,240,5400,1365640.00,27-Oct-2025,25,INE0O3O01017
SUNLITE,SM,185,196.45,185,188.55,188,180,60000,11497620.00,27-Oct-2025,47,INE0U2N01013
SUNTECH,SM,53.6,55.45,53.6,53.75,53.75,54.95,20800,1130720.00,27-Oct-2025,11,INE0SGZ01016
SUNTECK,EQ,437.1,439.9,433,434.4,434,434.75,185571,80895788.00,27-Oct-2025,9123,INE805D01034
SUPERSPIN,EQ,9.94,9.94,9.21,9.3,9.29,9.31,30585,284428.74,27-Oct-2025,88,INE662A01027
SUPERHOUSE,EQ,163.9,164.49,160.1,161.08,160.11,163.04,2320,376034.05,27-Oct-2025,85,INE712B01010
SUPRAJIT,EQ,442.95,442.95,433.25,439.2,438.7,443.25,89934,39402349.65,27-Oct-2025,7096,INE399C01030
SUPREMEENG,BZ,0.74,0.76,0.7,0.76,0.76,0.73,581221,434783.83,27-Oct-2025,449,INE319Z01021
SFML,SM,43.5,43.5,40.65,41.55,41.65,41,8000,337280.00,27-Oct-2025,5,INE0U6N01014
SUPREME,EQ,85.5,86.19,84.5,84.99,85.1,84.66,35196,3004208.07,27-Oct-2025,564,INE822E01011
SUPREMEIND,EQ,3970,4064.4,3885.2,4000.9,3995.3,4003.7,987205,3941473149.50,27-Oct-2025,59595,INE195A01028
SUPREMEINF,BZ,94.2,98,94.2,96.86,97.88,98.82,38849,3785108.49,27-Oct-2025,93,INE550H01011
SPLPETRO,EQ,808.1,809.95,763,798.05,800,808.1,621866,489688241.10,27-Oct-2025,17337,INE663A01033
SUPREMEPWR,SM,210.05,217.5,205.6,212.8,212.5,212,62500,13318075.00,27-Oct-2025,111,INE0QHG01026
SUPRIYA,EQ,747.95,748.65,680.7,730.75,730,747.95,379851,275123672.10,27-Oct-2025,23242,INE07RO01027
SURAJEST,EQ,276.2,284.3,271.05,278.95,279.8,273.9,154730,42987334.10,27-Oct-2025,4333,INE843S01025
SURAJLTD,EQ,293,314.85,290,295.75,293.1,310,224638,69214946.00,27-Oct-2025,1584,INE713C01016
